"@ThirtySecFights I would have knocked that Nigger out......from ANY distance......don't let me hit you first, nigger",Hate
@KyerOG @NaziFaction kyer you fucking ballerina nigger,Hate
"@MadilynGilliss The flag is only part of it, but ok girl. Your friend is on record saying ""nigger."" 🙄

https://t.co/qW9LBO47tF",Hate
@KEEMSTAR how does it feel being the cancer of YouTube? I wonder who your gonna call a pedophile or a nigger next,Hate
@QQ07164284 https://t.co/NP2bYRM3uu is it against the rules for me to respond with 'ok nigger',Hate
@MarkRuffalo maybe U can help&amp;educate ppl about plight&amp;racism to #Roma #Sinti if U like&amp;tell ppl that #Gypsy is a slur&amp;racist like #Nigger,Hate
@FuckedJohnny @ogxbenson lol coming from a nigger? Where's the kkk when you need them.,Hate
@SheistyShown Can you not read nigger? Nobody's touching The Slaughter King,Hate
"@n0nmundan3 Pretty sure your the nigger bashing idiot , defending the white cops when it was clearly murder but whatever bitch",Hate
@wavves You are a racist.  Black entertainers use the word nigger more than anyone.  You can't pretend to be offended by a word that you use,Hate
"@_tempdaddy @ButISayUntoYou  FUCK YOU NIGGER WHORE. WHO'S YOUR DADDY.? YOU DON'T KNOW, NEITHER DOES HE, FUCKING PORCH MONKEY.",Hate
@BWashinJ next time I hear abt u double stunning I'm finding ur grandma and slaying her tf out just cuz she's brown #NIGGER,Hate
@THEHermanCain   nigga are you going to speak out the disgust of two young black Afro American men lives taken say nigger?,Hate
@leftthumbstik @TheGreaTANK @TornVitality WILL HAPPILY MEET YOU UP NIGGER HAHA,Hate
"@slothswillgetya you deserve it you dirty black nigger, i hope those sloth die of cancer right in front of your eyes",Hate
"@Gilleyflower saying nigger doesnt make you racist, hating people for being black does. Its about whats in your heart, not the words you use",Hate
@cozmicbaz ...well you been lied to. Look in the mirror and you'll see the original/true nigger. AND THAT'S FACT!!!!,Hate
@coolgianna YOU BEST BE NIGGER,Hate
"@lilaustin110 @rigsbybaby @Loves_MJB it's not an opinion lmao. You can't say the term ""nigger"" isn't racist. IT IS AND THATS IT LOL",Hate
@Avery__Harper nigger you found your baby daddy ?,Hate
@MandyPooh20 make you feel mature?.... Such a nigger https://t.co/ooIYqbHBqT,Hate
@ahmedgazarin fuck you you sand nigger hope modric dies,Hate
@norahillfiger freak you nigger,Hate
@FMSupreme you are one dumb nigger,Hate
"@sumohulksmash you can say what you want, what nigger? We don't care what you say, why do you guys say that so much. Why do you even care?",Hate
"@RiotWomennn I saw Don Lemon on CNN yesterday&amp;he shared that someone he was sociallyconnected with asked""how do u feel about thatas a nigger",Hate
"@nigerdoormat Where u wipe yer feet, nigger?",Hate
"@Nau7ilust Pz Vox - Funny guy, active asf and ur a fellow canadian nigger",Hate
"@JohnScarce @fouseyTUBE if this was keemstar, he would've been like ""FUCK YOU YOU FUCKING CUNT BITCH SUCK MY DICK, ALEX IS A STUPID NIGGER""",Hate
"@oZahzo boii you say nigger like every 5 seconds, if that's anyone that's you",Hate
@HazzeKun you're supposed to leave it pressed you dumb nigger,Hate
@colenbooo fuck off nigger. Assault fire is your first fps game faggot kys,Hate
@khloekardashian @ChloeGMoretz you still look like an ogre stop sticking up for ur whore nigger loving sister ur legit trash,Hate
@metallophobe @jennsivan @KEEMSTAR fuck off alex you stupid nigger,Hate
@JoeFPS_ Nasty grammar nigger asf my clan is hella popping TF u talking about I don't do Shou for the money unlike u I do it for my viewers,Hate
@Ed_Edd_andEdwin a nigger or a monkey so you can't say nigga you're not black boy bye stop being anti black,Hate
@Lonestarmomcom @realDonaldTrump can't hide ingrained racism no matter how hard you try it comes out NIGGER might not slip out but it shows!,Hate
@HeroOfLegend69 it's me mums last name u nigger,Hate
@TheEternalBot ur fighting a bot you nigger,Hate
"@Just_Isaiah No negro. Blatant would be ""go back to Africa you flimsy nigger!""",Hate
"@FELlCKS n2motherfuckingdays- my brother my nigger, I love ya bro &amp; you're one of the coolest and dumbest fucks I know. You need a tage out.",Hate
@MindlessFools @WPTV You not worry about facts your mind is already made up.. look at your name a Racist Fool!  He's a Nigger in your eyes!,Hate
"@_leolomeli I know you'll get it nigger, you got this Perra 😁🙌🏻",Hate
@KEEMSTAR your daughter is a stupid nigger,Hate
@fineerussiann_ @BN9 WOW you must be a true nigger,Hate
@CrystalFerrer_ @PapaBush7795 not you ma'am. It was a continuation of the previous tweet. as in you calling her a nigger because you're mad,Hate
@MaajidNawaz @JtweetDixon Surprised they have time in between calling you a house nigger.,Hate
@hateonhay nigger why you stopped ?,Hate
@SotoGang you a nigger tho?,Hate
@ChainFeeds lol. It's bcuz ur a nigger and the whites feel sorry for u.,Hate
@TBEFuze @TBEHost stfu you nigger I'll literally hang you,Hate
@LitExplo @ShadyVerse @GENGHlS @Tenser fuck you sand nigger,Hate
@jjsuguitan u nigger,Hate
"@Harruhy besides you're the nigger

not only are you brown but you think that paper beats rock",Hate
@E12Represents @Fayme_K nigger pick up my right nut sack because your boy got my left!  Hahahaha,Hate
@Screvvy damn you filthy nigger,Hate
"@rolandsmartin @KRLDGoosmannWX ""thug"" simply means ""nigger"" - you have to understand the disingenuous &amp; moral bankruptcy of your adversary",Hate
"@_RomanElite @Amiracle000 @ObsCesced @MansaCam is your only response going to be ""nigger"" ""cotton picking"" ""you must be mad"" 😂😴😂😴😂",Hate
@Amphibioh @Oakly_ @ShitPussiesSay I'm stealing your Twitter name nigger,Hate
@juju_bee521 @PinkPigCherie I could give a fuck less...what your nigger/white(tattooed) combo does,Hate
@PinkPigCherie @juju_bee521 this is necessary and you are just making yourself look like more of a nigger,Hate
@SheDontTextBack @Smooth_Orator what influence?? That you can say nigger and get away with it if you say sorry??,Hate
@_kmruldnil damn u nigger,Hate
@tuckusruckus @HyperRTs @NightRTs @FameRTs suck my ass you dirty fucking nigger,Hate
@trussmibree Nigger lol. You good b,Hate
"@sapiopaz if you give me time to respond. Tranny, nigger, all come from hate. y'all really think us callin y'all females comes from hate?",Hate
@Douglas_onetime banning your paypal right now nigger,Hate
@Chiux123 I said they wasn't black enough and they can't say nigga or nigger! What you think of bi-racial  who say nigga or nigger?!,Hate
@_burgerproject As long as your mum is not Black she can come. Unless she does not mind being called a Nigger.,Hate
@Milrocko The fact that you don't know how to spell also shows that you are 100000000% nigger.,Hate
@ArsenaITom that's why you called him a nigger,Hate
"@IAmConradJay The lady recording this shaa! ""U should have never said nigger"".",Hate
@kingkhorie OMG NIGGER WHERE HAVE U BEEN?!?!,Hate
@Enzsd Nigger we stay in SA how tf you expect someone to buy you 15 gigs of data when we can barely afford a R12 cellc whatsapp bundle,Hate
@MEYUH_ @mujeonghan @chinitasavage This the 3rd time you called me a nigger i stg you catching this unfollow next time,Hate
@SlippinJimmy02 @ChrisRGun You stupid nigger,Hate
"@Scythe_______ @Tnilge I see your point, nigger",Hate
@solracbrown24 Seki my oce. Nigger took the day off cause fugh dat working on ur bday! Hahaha,Hate
"@CassperNyovest I'm in the Mother City broe n i was wondering, how can a Nigger get hold of ur branded clothing? u guys trading online too?",Hate
